epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,0.90921,0.45835,0.9835,0.80467,0.72911,0.77367,0.51811,0.97349,0.46175,1.0283,0.0029215,0.0029215,0.0029215
146,0.91202,0.45078,0.9867,0.80565,0.72999,0.77384,0.51826,0.97294,0.46168,1.0284,0.002872,0.002872,0.002872
147,0.91992,0.45975,0.9897,0.80554,0.72717,0.77359,0.51791,0.9727,0.46164,1.0283,0.0028225,0.0028225,0.0028225
148,0.9129,0.45567,0.98462,0.80622,0.72866,0.77489,0.5185,0.97254,0.46151,1.0282,0.002773,0.002773,0.002773
149,0.91761,0.44932,0.98151,0.8088,0.72667,0.7742,0.51835,0.97229,0.4614,1.0281,0.0027235,0.0027235,0.0027235
150,0.90448,0.44836,0.97557,0.80993,0.72721,0.77502,0.51871,0.97211,0.46137,1.028,0.002674,0.002674,0.002674
151,0.92039,0.45265,0.9886,0.80887,0.72689,0.77417,0.51839,0.9717,0.46127,1.0277,0.0026245,0.0026245,0.0026245
152,0.90053,0.45421,0.98059,0.81012,0.72803,0.77532,0.51863,0.97157,0.4612,1.0277,0.002575,0.002575,0.002575
153,0.90221,0.44575,0.97685,0.81335,0.727,0.77542,0.51906,0.9714,0.46082,1.0276,0.0025255,0.0025255,0.0025255
154,0.89504,0.44936,0.98101,0.81282,0.72679,0.77476,0.51908,0.97147,0.46065,1.0277,0.002476,0.002476,0.002476
155,0.89438,0.44566,0.9803,0.81284,0.72571,0.77518,0.51928,0.97116,0.46078,1.0276,0.0024265,0.0024265,0.0024265
156,0.89082,0.43826,0.97626,0.8139,0.72582,0.77479,0.51902,0.97106,0.4607,1.0275,0.002377,0.002377,0.002377
157,0.90199,0.44635,0.98004,0.81345,0.72688,0.77547,0.51938,0.97073,0.46034,1.0276,0.0023275,0.0023275,0.0023275
158,0.88828,0.44061,0.97031,0.81463,0.72662,0.77557,0.51947,0.9709,0.46031,1.0283,0.002278,0.002278,0.002278
159,0.88655,0.44169,0.98156,0.81272,0.72673,0.77574,0.51964,0.97073,0.46022,1.0283,0.0022285,0.0022285,0.0022285
160,0.89003,0.44369,0.9806,0.81292,0.72688,0.77585,0.51988,0.97077,0.46013,1.0283,0.002179,0.002179,0.002179
161,0.88266,0.4379,0.96935,0.81288,0.72767,0.77561,0.52012,0.97061,0.46018,1.0282,0.0021295,0.0021295,0.0021295
162,0.87295,0.43642,0.96589,0.81239,0.72804,0.77586,0.52006,0.97028,0.46008,1.0283,0.00208,0.00208,0.00208
163,0.88561,0.43993,0.97283,0.81178,0.72856,0.77581,0.52023,0.97036,0.46,1.0283,0.0020305,0.0020305,0.0020305
164,0.8888,0.44037,0.97613,0.8106,0.72914,0.77569,0.52031,0.97043,0.45968,1.0284,0.001981,0.001981,0.001981
165,0.8883,0.43682,0.96949,0.80954,0.7297,0.7758,0.52029,0.97037,0.45965,1.0283,0.0019315,0.0019315,0.0019315
166,0.87366,0.43464,0.97055,0.81008,0.72986,0.77606,0.52058,0.97018,0.45958,1.0283,0.001882,0.001882,0.001882
167,0.88604,0.4371,0.96491,0.80989,0.73117,0.77593,0.52058,0.97014,0.45948,1.0283,0.0018325,0.0018325,0.0018325
168,0.8727,0.43121,0.96588,0.80977,0.73237,0.7764,0.52123,0.96984,0.45946,1.0283,0.001783,0.001783,0.001783
169,0.8713,0.43534,0.96705,0.81025,0.7325,0.77631,0.52134,0.96988,0.45944,1.0284,0.0017335,0.0017335,0.0017335
170,0.86865,0.43154,0.96317,0.80994,0.73359,0.77662,0.52144,0.96975,0.45906,1.0284,0.001684,0.001684,0.001684
171,0.86608,0.42904,0.96118,0.81075,0.73247,0.77656,0.5216,0.96949,0.45918,1.0284,0.0016345,0.0016345,0.0016345
172,0.86833,0.42749,0.95953,0.81134,0.73249,0.77631,0.52168,0.96933,0.45885,1.0284,0.001585,0.001585,0.001585
173,0.8591,0.4259,0.9585,0.81018,0.73204,0.77675,0.52192,0.96929,0.45877,1.0285,0.0015355,0.0015355,0.0015355
174,0.87338,0.42713,0.96592,0.80761,0.73483,0.77661,0.52219,0.96921,0.45858,1.0285,0.001486,0.001486,0.001486
175,0.87078,0.43424,0.96345,0.80727,0.73484,0.7767,0.52207,0.96915,0.45846,1.0285,0.0014365,0.0014365,0.0014365
176,0.85781,0.41993,0.96177,0.80627,0.73506,0.77673,0.52191,0.96915,0.45855,1.0287,0.001387,0.001387,0.001387
177,0.86217,0.42051,0.95222,0.80485,0.73573,0.77688,0.52197,0.96922,0.45838,1.0287,0.0013375,0.0013375,0.0013375
178,0.86096,0.42282,0.95556,0.8038,0.73553,0.7768,0.52235,0.969,0.45834,1.0287,0.001288,0.001288,0.001288
179,0.84586,0.41574,0.95664,0.80671,0.73566,0.77804,0.52226,0.96886,0.45818,1.0287,0.0012385,0.0012385,0.0012385
180,0.85759,0.422,0.95647,0.80596,0.73643,0.77811,0.52227,0.96864,0.45819,1.0287,0.001189,0.001189,0.001189
181,0.8379,0.41332,0.94993,0.80531,0.7364,0.77802,0.52211,0.96865,0.45803,1.0287,0.0011395,0.0011395,0.0011395
182,0.84882,0.41685,0.95446,0.80524,0.73727,0.77879,0.52206,0.9685,0.45782,1.0288,0.00109,0.00109,0.00109
183,0.83002,0.41088,0.95158,0.80484,0.73701,0.77841,0.52191,0.96839,0.45788,1.0288,0.0010405,0.0010405,0.0010405
184,0.84026,0.41825,0.9528,0.80625,0.73682,0.77835,0.52234,0.9685,0.45768,1.029,0.000991,0.000991,0.000991
